Attendance,Study_Hours,Marks,Risk_Level
95,6,88,Low
40,1,35,High
78,3,65,Medium
55,2,42,High
88,5,80,Low
60,2,50,Medium
35,1,30,High
92,7,90,Low
70,3,60,Medium
45,1,38,High
85,6,84,Low
50,2,45,Medium
30,0,25,High
90,6,87,Low
65,3,58,Medium
42,1,33,High
80,5,75,Low
58,2,48,Medium
38,1,29,High
96,7,93,Low
72,4,62,Medium
48,2,40,High
89,6,85,Low
62,3,55,Medium
33,1,28,High
93,7,91,Low
75,4,68,Medium
44,1,36,High
84,5,78,Low
57,2,47,Medium
36,1,31,High
97,7,95,Low
68,3,59,Medium
47,2,39,High
91,6,86,Low
63,3,56,Medium
39,1,32,High
86,5,81,Low
59,2,49,Medium
34,1,27,High
